Al,185.472,0.1
Al,186.279,0.1
Al,236.71,0.04
Al,237.31,0.04
Al,308.215,0.1
Al,394.401,1
Al,396.152,1
Cu,219.25,0.18
Cu,224.262,0.17
Cu,224.7,0.34
Cu,324.754,1
Cu,327.396,0.6
Cu,465.11,0.3
Cu,510.55,0.5
Cu,515.32,0.6
Cu,521.82,1
Fe,238.204,1
Fe,259.837,0.5
Fe,259.94,0.8
Fe,273.955,0.4
Fe,275.57,0.4
Fe,363.146,0.35
Fe,364.784,0.32
Fe,371.99,0.6
Fe,373.49,1
Fe,404.581,0.55
Fe,406.359,0.25
Fe,407.173,0.22
Fe,438.35,1
Mg,279.552,0.47
Mg,279.8,0.3
Mg,280.27,0.45
Mg,285.215,0.36
Mg,382.925,0.33
Mg,383.23,0.57
Mg,383.829,0.72
Mg,448.11,0.64
Mg,516.7352,0.49
Mg,517.268,0.91
Mg,518.36,1
